Scaled,Attendance,Retaking,Failed (CS135)
1.75,4,FALSE,TRUE
2.775,2,FALSE,FALSE
2.225,1,FALSE,TRUE
1.525,3,FALSE,FALSE
1.525,1,FALSE,TRUE
4.325,3,FALSE,FALSE
4.75,4,FALSE,FALSE
4.175,5,FALSE,FALSE
3.175,1,FALSE,FALSE
4.125,5,FALSE,FALSE
0,1,FALSE,TRUE
2.5,2,FALSE,FALSE
4.15,2,TRUE,FALSE
2.575,5,FALSE,FALSE
3.7,2,TRUE,FALSE
3.05,1,TRUE,FALSE
4.9,5,FALSE,FALSE
3.1,3,TRUE,FALSE
2.075,5,FALSE,FALSE
3.475,4,TRUE,FALSE
3.975,5,FALSE,FALSE
0.825,1,FALSE,FALSE
2.3,3,TRUE,FALSE
1.775,4,TRUE,FALSE
